raw_name,norm_basic,norm_alias,sources,mention_count,distillery_meta,country,region,type,age,abv,match_method_used
Kilkerran Heavily Peated Batch 9,kilkerran heavily peated batch 9,kilkerran heavily peated batch,data/books/yeni veriler/catalogue.csv,1,Glengyle Distillery - Kilkerran,Scotland – Campbeltown,,SINGLE MALT,,,unmatched
Knob Creek Bourbon 9Y,knob creek bourbon 9y,knob creek bourbon 9y,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Knob Creek,USA,,BOURBON,,,unmatched
Knob Creek Rye - Small Batch,knob creek rye - small batch,knob creek rye small batch,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Knob Creek,USA,,RYE WHISKY,,,unmatched
Knob Creek Single Barrel Cask Strength Bourbon Whiskey,knob creek single barrel cask strength bourbon whiskey,knob creek single barrel cask strength bourbon,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Knob Creek,USA,,BOURBON,,,unmatched
Label 5 Classic Black,label 5 classic black,label classic black,data/books/yeni veriler/catalogue.csv,1,Various distilleries,Scotland,,BLENDED WHISKY,,,unmatched
Lagavulin 12 - Diageo Special Releases 2022,lagavulin 12 - diageo special releases 2022,lagavulin diageo special releases 2022,data/books/yeni veriler/catalogue.csv,1,Lagavulin Distillery - Lagavulin,Scotland – Islay,,SINGLE MALT,,,unmatched
Lagavulin 12 Fireside Tales - Diageo Special Releases 2024,lagavulin 12 fireside tales - diageo special releases 2024,lagavulin fireside tales diageo special releases 2024,data/books/yeni veriler/catalogue.csv,1,Lagavulin Distillery - Lagavulin,Scotland – Islay,,SINGLE MALT,,,unmatched
Lagavulin 12 The Ink of Legends - Diageo Special Releases 2023,lagavulin 12 the ink of legends - diageo special releases 2023,lagavulin the ink of legends diageo special releases 2023,data/books/yeni veriler/catalogue.csv,1,Lagavulin Distillery - Lagavulin,Scotland – Islay,,SINGLE MALT,,,unmatched
Lagavulin The Distillers Edition 2022,lagavulin the distillers edition 2022,lagavulin the distillers edition 2022,data/books/yeni veriler/catalogue.csv,1,Lagavulin Distillery - Lagavulin,Scotland – Islay,,SINGLE MALT,,,unmatched
Laphroaig 10 Year Old,laphroaig 10 year old,laphroaig old,data/input/whiskybase_export_sample.csv,1,Laphroaig,Scotland,Islay,Single Malt,10,40.0,unmatched
Laphroaig 10 Years Old Sherry Oak Finish,laphroaig 10 years old sherry oak finish,laphroaig old sherry oak finish,data/books/yeni veriler/catalogue.csv,1,Laphroaig,Scotland – Islay,,SINGLE MALT,,,unmatched
Laphroaig Oak Select Cask Collection,laphroaig oak select cask collection,laphroaig oak select cask collection,data/books/yeni veriler/catalogue.csv,1,Laphroaig,Scotland – Islay,,SINGLE MALT,,,unmatched
Laphroaig PX Cask,laphroaig px cask,laphroaig px cask,data/books/yeni veriler/catalogue.csv,1,Laphroaig,Scotland – Islay,,SINGLE MALT,,,unmatched
Ledaig Rioja Cask Finish,ledaig rioja cask finish,ledaig rioja cask finish,data/books/yeni veriler/catalogue.csv,1,Tobermory - Ledaig,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Macallan 12 Year Old,macallan 12 year old,macallan old,data/input/whiskybase_export_sample.csv,1,Macallan,Scotland,Speyside,Single Malt,12,40.0,unmatched
MacArthur's Blended Scotch,macarthur's blended scotch,macarthur s,data/books/yeni veriler/catalogue.csv,1,Various spirits,Scotland,,BLENDED WHISKY,,,unmatched
Machrie Moor 10 - Arran,machrie moor 10 - arran,machrie moor arran,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
MacNair's Peated,macnair's peated,macnair s peated,data/books/yeni veriler/catalogue.csv,1,Various distilleries,Scotland,,BLENDED MALT,,,unmatched
Maker's 46 Red Wax,maker's 46 red wax,maker s red wax,data/books/yeni veriler/catalogue.csv,1,Maker's Mark Distillery - Maker’s Mark,USA,,BOURBON,,,unmatched
Maker's Mark Red Wax,maker's mark red wax,maker s mark red wax,data/books/yeni veriler/catalogue.csv,1,Maker's Mark Distillery - Maker’s Mark,USA,,BOURBON,,,unmatched
May Loag Elegance,may loag elegance,may loag elegance,data/books/yeni veriler/catalogue.csv,1,Old Carrick Mill Distillery - May Loag,Ireland,,SINGLE MALT,,,unmatched
Monkey Shoulder Batch 27,monkey shoulder batch 27,monkey shoulder batch,data/books/yeni veriler/catalogue.csv,1,Various distilleries (mainly in Speyside),Scotland,,BLENDED MALT,,,unmatched
Monkey Shoulder Smokey Monkey,monkey shoulder smokey monkey,monkey shoulder smokey monkey,data/books/yeni veriler/catalogue.csv,1,Various distilleries (Speyside and Islay),Scotland – Highlands & Islands,,BLENDED MALT,,,unmatched
Mossburn Speyside Blended Malt,mossburn speyside blended malt,mossburn speyside blended malt,data/books/yeni veriler/catalogue.csv,1,Various distilleries (Speyside),Scotland – Speyside,,BLENDED MALT,,,unmatched
Nikka Whisky From The Barrel,nikka whisky from the barrel,nikka whisky from the barrel,data/books/yeni veriler/catalogue.csv,1,Blend – Yoichi Distillery + Miyagikyo Distillery + grain Nikka,Japan,,BLENDED WHISKY,,,unmatched
Oban Distillers Edition 2025,oban distillers edition 2025,oban distillers edition 2025,data/books/yeni veriler/catalogue.csv,1,Oban Distillery - Oban,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Old Mull Highland Single Malt Scotch Whisky,old mull highland single malt scotch whisky,old mull highland,data/books/yeni veriler/catalogue.csv,1,Undisclosed distilleries (Scotland),Scotland – Speyside,,SINGLE MALT,,,unmatched
Old Overholt 4 Year Old Straight Rye Whiskey,old overholt 4 year old straight rye whiskey,old overholt old straight rye,data/books/yeni veriler/catalogue.csv,1,Jim Beam Distillery - Old Overholt,USA,,RYE WHISKY,,,unmatched
Omar Peated Single Malt Whisky – 2023 Batch,omar peated single malt whisky – 2023 batch,omar peated single malt whisky 2023 batch,data/books/yeni veriler/catalogue.csv,1,Nantou Distillery - Omar Whisky,Taiwan,,SINGLE MALT,,,unmatched
Omar Single Malt Whisky Bourbon Type,omar single malt whisky bourbon type,omar single malt whisky bourbon type,data/books/yeni veriler/catalogue.csv,1,Nantou Distillery - Omar Whisky,Taiwan,,SINGLE MALT,,,unmatched
Paprocky Single Barrel,paprocky single barrel,paprocky single barrel,data/books/yeni veriler/catalogue.csv,1,Most likely from Loch Lomond Distillery.,"Polska, Szkocja",,SINGLE MALT,,,unmatched
Paprocky Single Malt,paprocky single malt,paprocky,data/books/yeni veriler/catalogue.csv,1,Most likely from Loch Lomond Distillery.,"Polska, Szkocja",,SINGLE MALT,,,unmatched
Peaky Blinder Bourbon Whiskey,peaky blinder bourbon whiskey,peaky blinder bourbon,data/books/yeni veriler/catalogue.csv,1,MGP of Indiana in Lawrenceburg (USA),USA,,BOURBON,,,unmatched
Pendryn Celt Peated,pendryn celt peated,pendryn celt peated,data/books/yeni veriler/catalogue.csv,1,Penderyn Distillery - Penderyn,Wales,,SINGLE MALT,,,unmatched
Port Askaig 100 Proof,port askaig 100 proof,port askaig proof,data/books/yeni veriler/catalogue.csv,1,An undisclosed distillery on Islay,Scotland – Islay,,SINGLE MALT,,,unmatched
Port Askaig 8,port askaig 8,port askaig,data/books/yeni veriler/catalogue.csv,1,An undisclosed distillery (Islay),Scotland – Islay,,SINGLE MALT,,,unmatched
Rebel Rye Whiskey,rebel rye whiskey,rebel rye,data/books/yeni veriler/catalogue.csv,1,Lux Row Distillers - Rebel,USA,,RYE WHISKY,,,unmatched
Redbreast Lustau Edition Sherry Cask 46%,redbreast lustau edition sherry cask 46%,redbreast lustau edition sherry cask,data/books/yeni veriler/catalogue.csv,1,Midleton Distillery - Redbreast,Ireland,,SINGLE MALT,,,unmatched
Roseisle 14 Years Old Diageo Special Releases 2025,roseisle 14 years old diageo special releases 2025,roseisle old diageo special releases 2025,data/books/yeni veriler/catalogue.csv,1,Roseisle,Scotland – Speyside,,SINGLE MALT,,,unmatched
Russell’s Reserve 10 Year Old Kentucky Straight Bourbon Whiskey,russell’s reserve 10 year old kentucky straight bourbon whiskey,russell s reserve old kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Wild Turkey Distillery - Russell’s Reserve,USA,,BOURBON,,,unmatched
Sam Barton 05,sam barton 05,sam barton,data/books/yeni veriler/catalogue.csv,1,Undisclosed distilleries (Canada),Canada,,BLENDED WHISKY,,,unmatched
Scapa Skiren The Orcadian,scapa skiren the orcadian,scapa skiren the orcadian,data/books/yeni veriler/catalogue.csv,1,Scapa,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Seven Seals Sherry Wood Finish Swiss Single Malt Whisky,seven seals sherry wood finish swiss single malt whisky,seven seals sherry wood finish swiss,data/books/yeni veriler/catalogue.csv,1,Seven Seals Innovation AG - Seven Seals,Switzerland,,SINGLE MALT,,,unmatched
Speyburn Bradan Orach,speyburn bradan orach,speyburn bradan orach,data/books/yeni veriler/catalogue.csv,1,Speyburn Distillery - Speyburn,Scotland – Speyside,,SINGLE MALT,,,unmatched
Springbank 12 Cask Strength Batch 26 (2024),springbank 12 cask strength batch 26 (2024),springbank cask strength batch,data/books/yeni veriler/catalogue.csv,1,Springbank,Scotland – Campbeltown,,SINGLE MALT,,,unmatched
Springbank 12 Cask Strength Batch 27 (2025),springbank 12 cask strength batch 27 (2025),springbank cask strength batch,data/books/yeni veriler/catalogue.csv,1,Springbank,Scotland – Campbeltown,,SINGLE MALT,,,unmatched
Stork Club Rye,stork club rye,stork club rye,data/books/yeni veriler/catalogue.csv,1,Spreewood Distillers - Stork Club,Germany,,RYE WHISKY,,,unmatched
Strathearn Heritage Collection,strathearn heritage collection,strathearn heritage collection,data/books/yeni veriler/catalogue.csv,1,Strathearn Distillery - Strathearn,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Suntory The Chita,suntory the chita,suntory the chita,data/books/yeni veriler/catalogue.csv,1,Chita Distillery - Chita,Japan,,SINGLE GRAIN,,,unmatched
Teeling Whiskey Single Grain,teeling whiskey single grain,teeling whiskey single grain,data/books/yeni veriler/catalogue.csv,1,Teeling Distillery - Teeling,Ireland,,SINGLE GRAIN,,,unmatched
The Deacon Blended Scotch Whisky,the deacon blended scotch whisky,deacon,data/books/yeni veriler/catalogue.csv,1,Undisclosed distilleries (Scotland),Scotland,,BLENDED WHISKY,,,unmatched
The English Small Batch Sherry Hogshead Single Malt Whisky,the english small batch sherry hogshead single malt whisky,english small batch sherry hogshead,data/books/yeni veriler/catalogue.csv,1,St George's Distillery (The English Distillery) - The English,England,,SINGLE MALT,,,unmatched
The Singleton of Dufftown 12 Luscious Nectar,the singleton of dufftown 12 luscious nectar,singleton of dufftown luscious nectar,data/books/yeni veriler/catalogue.csv,1,Dufftown - Singleton,Scotland – Speyside,,SINGLE MALT,,,unmatched
The Singleton of Dufftown 15 Fruity Decadence,the singleton of dufftown 15 fruity decadence,singleton of dufftown fruity decadence,data/books/yeni veriler/catalogue.csv,1,Dufftown - Singleton,Scotland – Speyside,,SINGLE MALT,,,unmatched
The Singleton of Dufftown Malt Masters Selection,the singleton of dufftown malt masters selection,singleton of dufftown malt masters selection,data/books/yeni veriler/catalogue.csv,1,Dufftown - Singleton,Scotland – Speyside,,SINGLE MALT,,,unmatched
The Singleton of Glendullan 12 Luscious Nectar,the singleton of glendullan 12 luscious nectar,singleton of glendullan luscious nectar,data/books/yeni veriler/catalogue.csv,1,Glendullan - Singleton,Scotland – Speyside,,SINGLE MALT,,,unmatched
Togouchi Japanese Premium Blended Whisky,togouchi japanese premium blended whisky,togouchi japanese premium,data/books/yeni veriler/catalogue.csv,1,"Various spirits, mainly from Sakurao Distillery",Japan,,BLENDED WHISKY,,,unmatched
Tomatin 12Y Bourbon & Sherry Cask,tomatin 12y bourbon & sherry cask,tomatin 12y bourbon sherry cask,data/books/yeni veriler/catalogue.csv,1,Tomatin,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Tomatin Cask Strength Bourbon & Sherry Casks,tomatin cask strength bourbon & sherry casks,tomatin cask strength bourbon sherry casks,data/books/yeni veriler/catalogue.csv,1,Tomatin,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Tomatin Cu Bocan Signature,tomatin cu bocan signature,tomatin cu bocan signature,data/books/yeni veriler/catalogue.csv,1,Tomatin,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Torabhaig Allt Gleann 2nd release,torabhaig allt gleann 2nd release,torabhaig allt gleann 2nd release,data/books/yeni veriler/catalogue.csv,1,Torabhaig,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Tullamore D.E.W. The Legendary,tullamore d.e.w. the legendary,tullamore d e w the legendary,data/books/yeni veriler/catalogue.csv,1,New releases from the Tullamore Distillery,Ireland,,BLENDED WHISKY,,,unmatched
Tyrconnell Irish,tyrconnell irish,tyrconnell irish,data/books/yeni veriler/catalogue.csv,1,"historically produced at the Cooley Distillery, currently Kilbeggan Distilling Co.",Ireland,,SINGLE MALT,,,unmatched
Wild Turkey 101 Kentucky Straight Rye Whiskey,wild turkey 101 kentucky straight rye whiskey,wild turkey kentucky straight rye,data/books/yeni veriler/catalogue.csv,1,Wild Turkey Distillery - Wild Turkey,USA,,RYE WHISKY,,,unmatched
Wild Turkey 81 Kentucky Straight Bourbon Whiskey,wild turkey 81 kentucky straight bourbon whiskey,wild turkey kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Wild Turkey Distillery - Wild Turkey,USA,,BOURBON,,,unmatched
Wild Turkey Kentucky Spirit Single Barrel Kentucky Straight Bourbon Whiskey,wild turkey kentucky spirit single barrel kentucky straight bourbon whiskey,wild turkey kentucky spirit single barrel kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Wild Turkey Distillery - Wild Turkey,USA,,BOURBON,,,unmatched
Wild Turkey Longbranch Kentucky Straight Bourbon Whiskey,wild turkey longbranch kentucky straight bourbon whiskey,wild turkey longbranch kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Wild Turkey Distillery - Wild Turkey,USA,,BOURBON,,,unmatched
Wild Turkey Rare Breed Barrel Proof Kentucky Straight Bourbon Whiskey,wild turkey rare breed barrel proof kentucky straight bourbon whiskey,wild turkey rare breed barrel proof kentucky straight bourbon,data/books/yeni veriler/catalogue.csv,1,Wild Turkey Distillery - Wild Turkey,USA,,BOURBON,,,unmatched
Woodford Reserve - Kentucky Straight Malt Whiskey,woodford reserve - kentucky straight malt whiskey,woodford reserve kentucky straight malt,data/books/yeni veriler/catalogue.csv,1,Woodford Reserve Distillery - Woodford Reserve,USA,,BOURBON,,,unmatched
Woodford Reserve Barrel Finish Select - Double Oaked,woodford reserve barrel finish select - double oaked,woodford reserve barrel finish select double oaked,data/books/yeni veriler/catalogue.csv,1,Woodford Reserve Distillery - Woodford Reserve,USA,,BOURBON,,,unmatched
Woodford Reserve Distiller's Select - Kentucky Derby 2025,woodford reserve distiller's select - kentucky derby 2025,woodford reserve distiller s select kentucky derby 2025,data/books/yeni veriler/catalogue.csv,1,Woodford Reserve Distillery - Woodford Reserve,USA,,BOURBON,,,unmatched
Woodford Reserve Kentucky Straight Rye,woodford reserve kentucky straight rye,woodford reserve kentucky straight rye,data/books/yeni veriler/catalogue.csv,1,Woodford Reserve Distillery - Woodford Reserve,USA,,RYE WHISKY,,,unmatched
Woodford Reserve Kentucky Straight Wheat Whiskey,woodford reserve kentucky straight wheat whiskey,woodford reserve kentucky straight wheat,data/books/yeni veriler/catalogue.csv,1,Woodford Reserve Distillery - Woodford Reserve,USA,,GRAIN WHISKY,,,unmatched
Yamazaki Distiller's Reserve Japanese Single Malt Whisky,yamazaki distiller's reserve japanese single malt whisky,yamazaki distiller s reserve japanese,data/books/yeni veriler/catalogue.csv,1,Yamazaki Distillery - Yamazaki,Japan,,SINGLE MALT,,,unmatched
Yushan Blended Malt,yushan blended malt,yushan blended malt,data/books/yeni veriler/catalogue.csv,1,Nantou Distillery - Yushan,Taiwan,,BLENDED MALT,,,unmatched
